before,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
Strongly disagree,0,0,0,0,0
Disagree,0,1,1,3,0
Neutral,2,0,0,4,1
Agree,0,0,0,1,1
Strongly agree,0,0,0,0,0
