before,Strongly disagree,Disagree,Neutral,Agree,Strongly agree
Strongly disagree,0,0,0,0,0
Disagree,0,2,1,6,0
Neutral,2,2,1,8,2
Agree,0,1,0,2,3
Strongly agree,0,0,0,0,0
